Timestamp,Temperature (C),Pressure (hPa)
2023-04-04 10:43:40,25.13,961.76
2023-04-04 10:43:42,25.13,961.76
2023-04-04 10:43:44,25.13,961.76
2023-04-04 10:43:46,25.13,961.76
2023-04-04 10:43:48,25.13,961.76
2023-04-04 10:43:50,25.13,961.76
2023-04-04 10:43:52,25.13,961.76
2023-04-04 10:43:54,25.13,961.76
2023-04-04 10:43:56,25.13,961.76
2023-04-04 10:43:58,25.13,961.76
2023-04-04 10:44:00,25.13,961.76
2023-04-04 10:45:28,27.23,961.74
2023-04-04 10:45:30,27.2,961.76
2023-04-04 10:45:32,27.16,961.78
2023-04-04 10:45:34,27.11,961.72
2023-04-04 10:45:36,27.08,961.77
2023-04-04 10:45:38,27.06,961.76
2023-04-04 10:45:40,27.02,961.75
2023-04-04 10:45:42,27.02,961.8
2023-04-04 10:45:44,26.98,961.78
2023-04-04 10:45:47,26.95,961.78
2023-04-04 10:45:49,26.93,961.76
2023-04-04 10:45:51,26.89,961.76
2023-04-04 10:45:53,26.86,961.73
2023-04-04 10:45:55,26.83,961.76
2023-04-04 10:45:57,26.79,961.74
2023-05-03 20:09:24,24.08,969.55
2023-05-03 20:09:26,24.08,969.55
2023-05-03 20:09:28,24.08,969.53
2023-05-03 20:09:31,24.08,969.51
2023-05-04 16:56:58,23.16,969.8
2023-05-04 16:57:00,23.15,969.79
2023-05-04 16:57:02,23.15,969.78
2023-05-04 20:16:55,25.41,964.78
2023-05-04 20:16:57,25.41,964.71
2023-05-04 20:16:59,25.42,964.75
2023-05-04 20:17:02,25.41,964.71
2023-05-04 20:17:04,25.41,964.73
2023-05-04 20:17:06,25.42,964.71
2023-05-04 20:17:08,25.42,964.74
2023-05-04 20:17:10,25.4,964.75
2023-05-04 20:17:12,25.4,964.7
2023-05-04 20:17:14,25.4,964.71
2023-05-04 20:17:16,25.4,964.73
